"model","jump","bias_corrected","se_robust","ci_low","ci_high","h_left","h_right","b_left","b_right","n_left","n_right","radius","removed_n"
"donut_0.000",-0.0334817539608666,0.0416049223847555,0.0746743688081945,-0.104754151047567,0.187963995817078,0.01,0.01,0.01,0.01,537,400,0,0
"donut_0.001",-0.0619377925462249,0.0554967796429794,0.0994545361373937,-0.139430529285449,0.250424088571408,0.01,0.01,0.01,0.01,521,362,0.001,54
"donut_0.002",-0.115163740804871,-0.0545138657654323,0.161506704444442,-0.371061189738293,0.262033458207429,0.01,0.01,0.01,0.01,443,327,0.002,167
