"model","jump","bias_corrected","se_robust","ci_low","ci_high","h_left","h_right","b_left","b_right","n_left","n_right"
"first_h6",-0.0577361109458618,-0.00253367725973375,0.0200006994531436,-0.0417343278535052,0.0366669733340377,6,6,6,6,14240,14070
"reduced_h6",-0.0256996107979972,-0.0160547603395532,0.0182721643217688,-0.0518675443298178,0.0197580236507115,6,6,6,6,14240,14070
"first_h9",-0.0931565775891238,-0.0247372238098456,0.015902112547563,-0.0559047916811715,0.00643034406148029,9,9,9,9,21461,21185
"reduced_h9",-0.0226776333028195,-0.0275802575062479,0.0145797754335175,-0.056156092258624,0.000995577246128143,9,9,9,9,21461,21185
"first_h12",-0.121322680152432,-0.0497647603780742,0.0136065063812726,-0.076433022840783,-0.0230964979153654,12,12,12,12,28776,28125
"reduced_h12",-0.0226036519497087,-0.0241958701847335,0.0125272196634318,-0.0487487695514818,0.000357029182014915,12,12,12,12,28776,28125
