"model","jump","bias_corrected","se_robust","ci_low","ci_high","h_left","h_right","b_left","b_right","n_left","n_right","bandwidth","order"
"h0.005_p1",0.0271552928371067,0.193333153104017,0.145707430194257,-0.092248162356611,0.478914468564645,0.005,0.005,0.005,0.005,276,186,0.005,1
"h0.005_p2",0.193333153104018,0.512282945930166,0.239564658580811,0.0427448431431418,0.98182104871719,0.005,0.005,0.005,0.005,276,186,0.005,2
"h0.010_p1",-0.0334817539608666,0.0416049223847555,0.0746743688081945,-0.104754151047567,0.187963995817078,0.01,0.01,0.01,0.01,537,400,0.01,1
"h0.010_p2",0.0416049223847611,0.126452742863101,0.12438707560127,-0.117341445457648,0.370246931183851,0.01,0.01,0.01,0.01,537,400,0.01,2
"h0.015_p1",-0.079741326784784,-0.00137179414011723,0.0547076558735648,-0.108596829330915,0.105853241050681,0.015,0.015,0.015,0.015,827,598,0.015,1
"h0.015_p2",-0.00137179414010447,0.0694709203846622,0.0825586648089621,-0.0923410892526178,0.231282930021942,0.015,0.015,0.015,0.015,827,598,0.015,2
"h0.020_p1",-0.0958526955737864,-0.0482931398010175,0.0460489711168892,-0.138547464715246,0.0419611851132106,0.02,0.02,0.02,0.02,1127,821,0.02,1
"h0.020_p2",-0.048293139801019,0.0312283351772633,0.0653651199991608,-0.0968849458662307,0.159341616220757,0.02,0.02,0.02,0.02,1127,821,0.02,2
