"model","jump","bias_corrected","se_robust","ci_low","ci_high","h_left","h_right","b_left","b_right","n_left","n_right","programme_effect","programme_bc","programme_ci_low","programme_ci_high"
"fixed_0.01",-0.0334817539608666,0.0416049223847555,0.0746743688081945,-0.104754151047567,0.187963995817078,0.01,0.01,0.01,0.01,537,400,0.0334817539608666,-0.0416049223847555,-0.187963995817078,0.104754151047567
"automatic_mserd",0.0234921320786319,0.04403547758539,0.078164029494803,-0.10916320511095,0.19723416028173,0.00542007155330511,0.00542007155330511,0.0106345536854754,0.0106345536854754,306,197,-0.0234921320786319,-0.04403547758539,-0.19723416028173,0.10916320511095
