"bandwidth","first_stage","first_se","reduced_form","ratio","iv_estimate","iv_se","n_left","n_right","support_left","support_right"
6,-0.057736110945898,0.013097474656954,-0.0256996107981265,0.445121958806829,0.445121958806569,0.224753568465117,14240,14070,6,6
9,-0.0931565775887869,0.0105961819459321,-0.0226776333025304,0.243435663798582,0.243435663792424,0.106719214546461,21461,21185,9,9
12,-0.121322680151925,0.00909318158790393,-0.0226036519492497,0.186310192957693,0.186310192954957,0.0699653430952747,28776,28125,12,12
